id,distance,weight,weighted_distance,geometry,brown_to_school
0,25.729886214243393,25.729886214243393,25.729886214243393,"LINESTRING (231400.84977651745 904576.4962440707, 231418.752400003 904558.015900001)",0.0
1,6.420990397105751,6.420990397105751,6.420990397105751,"LINESTRING (231383.421899997 904594.491700001, 231388.49939011608 904590.5612786787)",0.15753466434330934
2,5.047096495959449,5.047096495959449,5.047096495959449,"LINESTRING (231401.32606682158 904602.3733786345, 231398.058899999 904606.2203)",0.19603067584302894
3,26.864919419468354,26.864919419468354,26.864919419468354,"LINESTRING (231431.243699998 904567.146899998, 231413.85307283496 904587.6234715442)",0.3535653401862911
4,148.20064644519076,148.20064644519076,148.20064644519076,"LINESTRING (231414.84747674476 904638.6697873913, 231482.948200002 904770.296999998)",0.17697950698858414
5,20.743926280990678,20.743926280990678,20.743926280990678,"LINESTRING (231398.058899999 904606.2203, 231407.59108772432 904624.6444112329)",0.18509571221555465
6,18.176049733447627,18.176049733447627,18.176049733447627,"LINESTRING (231397.30866852065 904631.1789344561, 231389.069399998 904614.977600001)",0.16769556759407359
7,147.71928282757744,147.71928282757744,147.71928282757744,"LINESTRING (231471.505900003 904777.077100001, 231404.54421938275 904645.4066027452)",0.17581177282104404
8,79.27905660119143,79.27905660119143,79.27905660119143,"LINESTRING (231828.00452674183 904492.3942516341, 231879.2522 904444.5693, 231882.3574 904440.7289, 231884.473800004 904437.050700001)",1.424850310171954
9,5.461053870991775,5.461053870991775,5.461053870991775,"LINESTRING (231815.489100002 904504.073800001, 231819.48167352699 904500.3478818551)",1.127653285760059
10,7.621918157528553,7.621918157528553,7.621918157528553,"LINESTRING (231826.55727729364 904509.3235014773, 231820.958700001 904514.495499998)",1.0404741835395395
11,74.5176074304642,74.5176074304642,74.5176074304642,"LINESTRING (231889.878700003 904450.8268, 231835.14279543952 904501.3921494874)",0.39404648453660723
12,9.901163997331333,9.901163997331333,9.901163997331333,"LINESTRING (231825.49632594985 904523.2956704083, 231820.958700001 904514.495499998)",0.9245797241151148
13,32.47142126271556,32.47142126271556,32.47142126271556,"LINESTRING (231846.465800002 904563.963399999, 231831.5844018393 904535.1027488015)",0.3705608827415252
14,9.706314716238817,9.706314716238817,9.706314716238817,"LINESTRING (231817.8216774922 904530.6409902001, 231813.415299997 904521.9925)",0.9826937609105799
15,44.82781187430666,44.82781187430666,44.82781187430666,"LINESTRING (231842.8046 904579.675500002, 231822.45410991437 904539.7331631811)",1.0665806770985513
16,11.61846632830482,11.61846632830482,11.61846632830482,"LINESTRING (232291.8905171419 904469.3794812043, 232282.015199997 904475.500500001)",0.001778641221627449
17,26.89946576493795,26.89946576493795,26.89946576493795,"LINESTRING (232328.960000001 904446.4027, 232306.09633211646 904460.5742895122)",4.4119723281095583e-07
18,218.84720502317253,218.84720502317253,218.84720502317253,"LINESTRING (232314.75119825342 904473.3547098907, 232362.711000003 904444.791999999, 232447.207800001 904393.552499998, 232504.479400001 904364.525899999)",0.0
19,13.918063428146871,13.918063428146871,13.918063428146871,"LINESTRING (232289.011200003 904488.684300002, 232300.96922586602 904481.5626353757)",0.00177908241886026
20,11.592333720744827,11.592333720744827,11.592333720744827,"LINESTRING (232294.1206666512 904499.0898538874, 232289.011200003 904488.684300002)",0.03844883026536854
21,36.880372983979726,36.880372983979726,36.880372983979726,"LINESTRING (232317.693300001 904543.5559, 232316.344800003 904543.138700001, 232315.327799998 904542.278700002, 232300.28151661117 904511.6365756204)",0.38867836102881903
22,38.94429924326345,38.94429924326345,38.94429924326345,"LINESTRING (232291.31451197088 904516.8987561059, 232307.296400003 904548.351, 232307.234700002 904549.228300001, 232306.398999996 904550.102000002, 232305.0123 904550.850900002)",0.2848801473420409
23,14.260476095110722,14.260476095110722,14.260476095110722,"LINESTRING (232279.6087 904493.8618, 232286.06875144038 904506.5751360628)",0.06670827089883669
24,96.66744699950866,96.66744699950866,96.66744699950866,"LINESTRING (231580.3080364138 904174.5684125631, 231645.962499999 904214.270199999, 231651.353100002 904218.5821, 231655.252400003 904223.065000001, 231659.037900001 904229.069200002)",0.0
25,11.69287272971736,11.69287272971736,11.69287272971736,"LINESTRING (231560.794799998 904162.768599998, 231570.80051281632 904168.8191358148)",0.0
26,9.22639614934555,9.22639614934555,9.22639614934555,"LINESTRING (231577.1408937014 904160.9371156144, 231575.366300002 904159.8794, 231572.220799997 904158.0436, 231569.885799997 904155.411600001)",0.0
27,93.54622227505922,93.54622227505922,93.54622227505922,"LINESTRING (231667.435599998 904214.7557, 231587.0800688773 904166.8611875769)",0.0
28,13.506323346070555,13.506323346070555,13.506323346070555,"LINESTRING (231588.51636609004 904141.2470105742, 231599.268100001 904133.0726)",0.0
29,6.849534432798118,6.849534432798118,6.849534432798118,"LINESTRING (231569.885799997 904155.411600001, 231575.33838466776 904151.266067182)",0.0
30,24.453131068671215,24.453131068671215,24.453131068671215,"LINESTRING (231563.83240551298 904136.602794525, 231544.262199998 904151.264400002)",0.0
31,11.682335045768466,11.682335045768466,11.682335045768466,"LINESTRING (231587.003200002 904119.243700001, 231577.65365302173 904126.2481930866)",0.0
32,5.806777947887712,5.806777947887712,5.806777947887712,"LINESTRING (231594.28149052348 904108.078423544, 231594.744999997 904109.803399999, 231594.437700003 904112.2236, 231594.043700002 904113.754700001)",0.0
33,2.1234400061361542,2.1234400061361542,2.1234400061361542,"LINESTRING (231588.159199998 904092.912099998, 231589.858000003 904094.186099999)",0.0
